date,species,stage,replicate,hours,well,site,count,total
20230228,Bma,cells,1,2,A10,1,11,11
20230228,Bma,cells,1,2,A10,2,60,154
20230228,Bma,cells,1,2,A10,3,66,145
20230228,Bma,cells,1,2,A10,4,43,48
20230228,Bma,cells,1,2,A10,5,77,172
20230228,Bma,cells,1,2,A10,6,85,200
20230228,Bma,cells,1,2,A10,7,82,211
20230228,Bma,cells,1,2,A10,8,78,233
20230228,Bma,cells,1,2,A10,9,76,182
20230228,Bma,cells,1,2,A10,10,109,238
20230228,Bma,cells,1,2,A10,11,125,300
20230228,Bma,cells,1,2,A10,12,105,218
20230228,Bma,cells,1,2,A10,13,76,94
20230228,Bma,cells,1,2,A10,14,129,343
20230228,Bma,cells,1,2,A10,15,162,301
20230228,Bma,cells,1,2,A10,16,76,101
20230301,Bma,cells,1,24,B10,1,281,422
20230301,Bma,cells,1,24,B10,2,225,410
20230301,Bma,cells,1,24,B10,3,178,389
20230301,Bma,cells,1,24,B10,4,287,542
20230301,Bma,cells,1,24,B10,5,537,911
20230301,Bma,cells,1,24,B10,6,666,1127
20230301,Bma,cells,1,24,B10,7,1393,1861
20230301,Bma,cells,1,24,B10,8,528,907
20230301,Bma,cells,1,24,B10,9,191,335
20230301,Bma,cells,1,24,B10,10,218,377
20230301,Bma,cells,1,24,B10,11,919,1394
20230301,Bma,cells,1,24,B10,12,964,1735
20230301,Bma,cells,1,24,B10,13,76,82
20230301,Bma,cells,1,24,B10,14,137,296
20230301,Bma,cells,1,24,B10,15,171,330
20230301,Bma,cells,1,24,B10,16,474,1034
20230301,Bma,cells,1,24,B11,1,303,588
20230301,Bma,cells,1,24,B11,2,420,817
20230301,Bma,cells,1,24,B11,3,319,581
20230301,Bma,cells,1,24,B11,4,1113,1485
20230301,Bma,cells,1,24,B11,5,160,445
20230301,Bma,cells,1,24,B11,6,279,692
20230301,Bma,cells,1,24,B11,7,777,1165
20230301,Bma,cells,1,24,B11,8,835,1140
20230301,Bma,cells,1,24,B11,9,84,252
20230301,Bma,cells,1,24,B11,10,169,336
20230301,Bma,cells,1,24,B11,11,525,915
20230301,Bma,cells,1,24,B11,12,1207,1826
20230301,Bma,cells,1,24,B11,13,58,79
20230301,Bma,cells,1,24,B11,14,120,231
20230301,Bma,cells,1,24,B11,15,197,387
20230301,Bma,cells,1,24,B11,16,657,1238
20230302,Bma,cells,1,48,C10,1,1134,1294
20230302,Bma,cells,1,48,C10,2,752,913
20230302,Bma,cells,1,48,C10,3,493,851
20230302,Bma,cells,1,48,C10,4,369,627
20230302,Bma,cells,1,48,C10,5,504,700
20230302,Bma,cells,1,48,C10,6,272,514
20230302,Bma,cells,1,48,C10,7,369,633
20230302,Bma,cells,1,48,C10,8,163,434
20230302,Bma,cells,1,48,C10,9,86,276
20230302,Bma,cells,1,48,C11,1,248,437
20230302,Bma,cells,1,48,C11,2,328,679
20230302,Bma,cells,1,48,C11,3,650,832
20230302,Bma,cells,1,48,C11,4,841,1170
20230302,Bma,cells,1,48,C11,5,159,383
20230302,Bma,cells,1,48,C11,6,171,431
20230302,Bma,cells,1,48,C11,7,357,606
20230302,Bma,cells,1,48,C11,8,951,1145
20230302,Bma,cells,1,48,C11,9,95,237
20230302,Bma,cells,1,48,C11,10,156,346
20230302,Bma,cells,1,48,C11,11,93,248
20230302,Bma,cells,1,48,C11,12,254,502
20230302,Bma,cells,1,48,C11,13,128,315
20230302,Bma,cells,1,48,C11,14,94,253
20230302,Bma,cells,1,48,C11,15,122,258
20230302,Bma,cells,1,48,C11,16,150,390
20230303,Bma,cells,1,72,D10,1,379,537
20230303,Bma,cells,1,72,D10,2,417,594
20230303,Bma,cells,1,72,D10,3,461,631
20230303,Bma,cells,1,72,D10,4,246,369
20230303,Bma,cells,1,72,D10,5,206,456
20230303,Bma,cells,1,72,D10,6,140,349
20230303,Bma,cells,1,72,D10,7,65,228
20230303,Bma,cells,1,72,D10,8,61,232
20230303,Bma,cells,1,72,D10,9,69,183
20230303,Bma,cells,1,72,D10,10,150,335
20230303,Bma,cells,1,72,D10,11,73,207
20230303,Bma,cells,1,72,D10,12,63,202
20230303,Bma,cells,1,72,D10,13,49,178
20230303,Bma,cells,1,72,D10,14,79,202
20230303,Bma,cells,1,72,D10,15,106,140
20230303,Bma,cells,1,72,D10,16,221,462
20230303,Bma,cells,1,72,D11,1,181,274
20230303,Bma,cells,1,72,D11,2,391,877
20230303,Bma,cells,1,72,D11,3,365,761
20230303,Bma,cells,1,72,D11,4,440,620
20230303,Bma,cells,1,72,D11,5,176,498
20230303,Bma,cells,1,72,D11,6,98,298
20230303,Bma,cells,1,72,D11,7,173,405
20230303,Bma,cells,1,72,D11,8,192,454
20230303,Bma,cells,1,72,D11,9,85,272
20230303,Bma,cells,1,72,D11,10,113,304
20230303,Bma,cells,1,72,D11,11,115,296
20230303,Bma,cells,1,72,D11,12,177,487
20230303,Bma,cells,1,72,D11,13,110,302
20230303,Bma,cells,1,72,D11,14,130,350
20230303,Bma,cells,1,72,D11,15,68,210
20230303,Bma,cells,1,72,D11,16,223,539
20230304,Bma,cells,1,96,E10,1,341,719
20230304,Bma,cells,1,96,E10,2,387,803
20230304,Bma,cells,1,96,E10,3,433,712
20230304,Bma,cells,1,96,E10,4,324,754
20230304,Bma,cells,1,96,E10,5,419,991
20230304,Bma,cells,1,96,E10,6,74,223
20230304,Bma,cells,1,96,E10,7,95,301
20230304,Bma,cells,1,96,E10,8,164,549
20230304,Bma,cells,1,96,E10,9,183,452
20230304,Bma,cells,1,96,E10,10,92,256
20230304,Bma,cells,1,96,E10,11,129,315
