Genome project,Gene stable ID,Transcript stable ID,Gene name,Gene description
brugia_malayi_prjna10729,WBGene00220262,Bm1.1,Bm1,Bm1  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XKZ5]
brugia_malayi_prjna10729,WBGene00220263,Bm2a.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2b.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2c.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2d.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2e.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2f.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2g.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2h.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2i.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220263,Bm2j.1,Bm2,"Bm2, isoform a; Bm2, isoform b; Bm2, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8D2]"
brugia_malayi_prjna10729,WBGene00220265,Bm4.1,Bm4,Bm4  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XLR8]
brugia_malayi_prjna10729,WBGene00220269,Bm8a.1,Bm8,Bm8  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XKF5]
brugia_malayi_prjna10729,WBGene00220269,Bm8b.1,Bm8,Bm8  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XKF5]
brugia_malayi_prjna10729,WBGene00220274,Bm13,Bm13,
brugia_malayi_prjna10729,WBGene00220275,Bm14a.1,Bm14,
brugia_malayi_prjna10729,WBGene00220275,Bm14b.1,Bm14,
brugia_malayi_prjna10729,WBGene00220275,Bm14c.1,Bm14,
brugia_malayi_prjna10729,WBGene00220276,Bm15a.1,Bma-dtmk-1,dTMP kinase  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BP23]
brugia_malayi_prjna10729,WBGene00220276,Bm15b.1,Bma-dtmk-1,dTMP kinase  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BP23]
brugia_malayi_prjna10729,WBGene00220277,Bm16.1,Bm16,Bm16  [Source:UniProtKB/TrEMBL;Acc:A0A0H5SCS6]
brugia_malayi_prjna10729,WBGene00220278,Bm17.1,Bm17,Bm107; Bm108; Bm14805; Bm17; Bm372  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BYS7]
brugia_malayi_prjna10729,WBGene00220280,Bm19a.1,Bm19,Bm19; Bm9285  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BSV3]
brugia_malayi_prjna10729,WBGene00220280,Bm19a.2,Bm19,Bm19; Bm9285  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BSV3]
brugia_malayi_prjna10729,WBGene00220280,Bm19b.1,Bm19,Bm19; Bm9285  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BSV3]
brugia_malayi_prjna10729,WBGene00220281,Bm20a.1,Bm20,Bm20  [Source:UniProtKB/TrEMBL;Acc:A0A0H5RZS9]
brugia_malayi_prjna10729,WBGene00220281,Bm20b.1,Bm20,Bm20  [Source:UniProtKB/TrEMBL;Acc:A0A0H5RZS9]
brugia_malayi_prjna10729,WBGene00220281,Bm20c.1,Bm20,Bm20  [Source:UniProtKB/TrEMBL;Acc:A0A0H5RZS9]
brugia_malayi_prjna10729,WBGene00220281,Bm20d.1,Bm20,Bm20  [Source:UniProtKB/TrEMBL;Acc:A0A0H5RZS9]
brugia_malayi_prjna10729,WBGene00220284,Bm23.1,Bm23,
brugia_malayi_prjna10729,WBGene00220288,Bm27.1,Bm27,Bm27  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J729]
brugia_malayi_prjna10729,WBGene00220289,Bm28,Bm28,
brugia_malayi_prjna10729,WBGene00220294,Bm33.1,Bm33,
brugia_malayi_prjna10729,WBGene00220302,Bm41a.1,Bm41,Bm102; Bm104; Bm41  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PME3]
brugia_malayi_prjna10729,WBGene00220302,Bm41b.1,Bm41,Bm102; Bm104; Bm41  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PME3]
brugia_malayi_prjna10729,WBGene00220303,Bm42.1,Bm42,Bm7801  [Source:UniProtKB/TrEMBL;Acc:A0A0H5SCU8]
brugia_malayi_prjna10729,WBGene00220306,Bm45a.1,Bm45,3Beta_HSD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PNB1]
brugia_malayi_prjna10729,WBGene00220306,Bm45b.1,Bm45,3Beta_HSD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PNB1]
brugia_malayi_prjna10729,WBGene00220309,Bm48,Bm48,
brugia_malayi_prjna10729,WBGene00220310,Bm49.1,Bm49,Bm49  [Source:UniProtKB/TrEMBL;Acc:A0A0K0JGM8]
brugia_malayi_prjna10729,WBGene00220316,Bm55.1,Bm55,Bm55  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XKV4]
brugia_malayi_prjna10729,WBGene00220317,Bm56.1,Bm56,Bm56  [Source:UniProtKB/TrEMBL;Acc:A0A0K0JJJ5]
brugia_malayi_prjna10729,WBGene00220320,Bm59.1,Bm59,MFS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FF08]
brugia_malayi_prjna10729,WBGene00220321,Bm60a.1,Bm60,
