"","Object.Number","stain","Area_M01","Area_M02","Area_M05","Aspect.Ratio_M01","Aspect.Ratio_M02","Aspect.Ratio_M05","Aspect.Ratio.Intensity_M01_Ch01","Aspect.Ratio.Intensity_M02_Ch02","Aspect.Ratio.Intensity_M05_Ch05","Bkgd.Mean_Ch01","Bkgd.Mean_Ch02","Bkgd.Mean_Ch05","Diameter","Intensity_MC_Ch01","Intensity_MC_Ch02","Intensity_MC_Ch05","Length_M01","Length_M02","Length_M05","Width_M01","Width_M02","Width_M05","Height_M01","Height_M02","Height_M05","Circularity_M01","Lobe.Count_M01_Ch01","golden"
"1",0,"dim",22.22222222,22,26,0.941889131,0.979873163,0.921892587,0.947233472,0.965163822,0.943051176,807.1556122,30.71938776,30.11479592,5.32057923,-1066.058673,63497.43367,3046.186224,5.333333333,5.333333333,6,5,5,5.666666667,5.333333333,5.333333333,6,18.73487845,1,TRUE
"2",4,"dim",19.55555556,21.77777778,21.55555556,0.935626102,0.96346438,0.965478149,0.901977792,0.91020496,0.971956608,808.7213542,30.796875,30.515625,4.991145734,-2610.091146,94186.67188,23400.14063,5,5.333333333,5.333333333,4.666666667,5,5,5,5.333333333,5.333333333,16.99984903,1,TRUE
"3",9,"dim",15.22222222,17.11111111,7.777777778,0.952608424,0.934308872,0.962083655,0.777317323,0.949219749,0.906350396,806.902027,29.83783784,29.68243243,4.403562863,556.6756757,98723.94595,7987.810811,4.333333333,4.666666667,3,4.333333333,4.333333333,3,4.333333333,4.666666667,3,14.98185116,1,TRUE
"4",12,"dim",57.11111111,35.88888889,39.22222222,0.898782886,0.782304573,0.878194009,0.582555044,0.869317901,0.741531317,808.4273256,30.63662791,30.78197674,8.529537372,-1368.319767,94750.40116,79963.0407,9.333333333,7.666666667,7,8,6,7,9.333333333,7.666666667,7,14.35320023,3,TRUE
"5",42,"dim",39.55555556,37.22222222,36.66666667,0.706636991,0.750021652,0.95243953,0.838048867,0.713943921,0.951391078,807.9908537,30.54573171,30.80487805,7.098538071,-1653.884146,103735.4207,40677.80488,8.333333333,7.666666667,7,6,6,6.666666667,8.333333333,7.666666667,7,6.305919592,3,FALSE
"6",43,"dim",18.66666667,19.77777778,20,0.986724857,0.934300055,0.927992987,0.934652116,0.965206437,0.95724129,808.2862903,31.48387097,30.31048387,4.876391412,-331.2540323,71274.6129,5017.076613,4.666666667,5,5.333333333,4.666666667,4.666666667,4.666666667,4.666666667,5,5.333333333,10.34563232,1,TRUE
"7",46,"dim",21.88888889,14.55555556,19.88888889,0.451602985,0.557799441,0.659003432,0.425853474,0.537231927,0.732108161,808.7619048,30.31547619,30.45238095,5.280524111,-2581.809524,11235.54762,5962.238095,7.333333333,5.333333333,5.333333333,3.666666667,3,4.333333333,7.333333333,5.333333333,5.333333333,2.043016939,2,FALSE
"8",47,"dim",17,18,13.44444444,0.901077517,0.921539552,0.982437897,0.744103128,0.846388855,0.960042842,806.9895833,30.55555556,30.41319444,4.653606231,-2354.208333,113660.4444,35755.93056,4.666666667,5,4,4.333333333,4.666666667,4,4.666666667,5,4,13.62074646,2,TRUE
"9",56,"dim",21.22222222,24.44444444,12.77777778,0.937407423,0.983204108,0.779693108,0.825279674,0.98694908,0.752343344,805.9351852,30.37037037,29.52083333,5.199488243,-729.9259259,129315.1481,1689.833333,5,5.333333333,4.333333333,5,5.333333333,3.666666667,5,5.333333333,4.333333333,15.8363598,1,FALSE
"10",61,"dim",23.22222222,22.11111111,33.55555556,0.954963787,0.94358708,0.972123609,0.987592327,0.952699121,0.956407909,807.7463235,31.55147059,30.69852941,5.438974967,-335.3897059,67046.45588,22287.04412,5.333333333,5.333333333,6.333333333,5.333333333,5,6.333333333,5.333333333,5.333333333,6.333333333,16.84124838,1,TRUE
"11",68,"dim",26,36.55555556,24.66666667,0.903964114,0.902715165,0.910021009,0.843569027,0.748975894,0.662781468,807.8086735,31.88520408,30.50510204,5.755086368,11571.94643,439854.7679,61897.82143,5.666666667,7,5.666666667,5.333333333,6.333333333,5.333333333,5.666666667,7,5.666666667,12.41586219,4,TRUE
"12",70,"dim",23.88888889,26,34.22222222,0.96462811,0.981966153,0.926546822,0.981441207,0.980146493,0.960425221,807.1284722,30.73611111,29.94097222,5.516493958,-1013.625,30355.5,5755.125,5.333333333,6,6.666666667,5.333333333,5.666666667,6.333333333,5.333333333,6,6.666666667,18.81760938,1,TRUE
"13",74,"dim",25.88888889,23.66666667,19.22222222,0.780201995,0.97235656,0.637125007,0.713177201,0.959261593,0.360956037,806.7206704,30.50277778,29.72777778,5.742776009,-1644.553073,180565.2,20813.4,6,5.333333333,6,5,5.333333333,4,6,5.333333333,6,8.886237291,2,FALSE
"14",101,"dim",43.66666667,27.55555556,33.44444444,0.866926345,0.915202748,0.906160363,0.87885629,0.846658126,0.826481159,806.2556818,30.32102273,30.63068182,7.458305904,-2466.107955,77552.77557,122149.267,8,6,6.666666667,7,5.666666667,6.333333333,8,6,6.666666667,8.830809711,4,TRUE
"15",114,"dim",13.66666667,21.44444444,13.55555556,0.919326803,0.992594118,0.940981708,0.939128311,0.953940647,0.924949567,807.5652174,31.1548913,30.41304348,4.172501223,-1000.347826,98676.48641,9630.630435,4.333333333,5,4,4,5,4,4.333333333,5,4,8.640083149,3,TRUE
"16",122,"dim",25.33333333,21.66666667,37.66666667,0.976197117,0.981877349,0.981744301,0.902311695,0.966822374,0.983564411,808.2336683,30.6975,30.57,5.680824078,-988.2135678,60424.5475,13235.77,5.666666667,5,6.666666667,5.666666667,5,6.666666667,5.666666667,5,6.666666667,18.8156987,1,TRUE
"17",126,"dim",14,24,13.55555556,0.930696823,0.971819985,0.955814921,0.881749844,0.823537497,0.929995703,808.0338542,30.88020833,30.22916667,4.223078842,-2345.53125,118313.1875,4288.25,4.333333333,5.333333333,4.333333333,4,5.333333333,4,4.333333333,5.333333333,4.333333333,14.02374269,3,TRUE
"18",143,"dim",25.22222222,20.66666667,37.55555556,0.934578384,0.975818102,0.984360605,0.994705802,0.960633701,0.982622178,807.7853261,30.82880435,30.61141304,5.668352441,-940.6494565,45935.08967,27082.39402,5.666666667,5,7,5.333333333,5,6.666666667,5.666666667,5,7,18.01035166,1,TRUE
"19",155,"dim",24,26.55555556,39.66666667,0.950944973,0.982816271,0.973658753,0.931359885,0.966938586,0.982626441,807.7869318,30.82670455,30.47727273,5.529308131,-873.9346591,31066.86648,28220.61364,5.333333333,5.666666667,7.333333333,5.333333333,5.666666667,7,5.333333333,5.666666667,7.333333333,20.11184476,1,TRUE
"20",168,"dim",27.77777778,28.88888889,27.33333333,0.809125771,0.792987024,0.759093504,0.635865703,0.57119273,0.562975887,805.127551,30.42091837,30.38520408,5.948588419,-5297.265306,256639.7245,117340.4388,6.666666667,6,6.666666667,5.333333333,6,5.333333333,6.666666667,6,6.666666667,9.224657589,4,FALSE
"21",180,"dim",23.22222222,22,39.33333333,0.964079153,0.971203353,0.96440196,0.910267117,0.94190277,0.98946502,808.1323529,30.43137255,29.9877451,5.438974967,-58.85294118,73698.29412,11458.33824,5.333333333,5,7,5.333333333,5,7,5.333333333,5,7,19.87651694,1,TRUE
