bma_genome_project,bma_gene_ID,cel_gene_ID,cel_gene_name
brugia_malayi_prjna10729,WBGene00220262,,
brugia_malayi_prjna10729,WBGene00220263,,
brugia_malayi_prjna10729,WBGene00220265,,
brugia_malayi_prjna10729,WBGene00220269,,
brugia_malayi_prjna10729,WBGene00220274,,
brugia_malayi_prjna10729,WBGene00220275,,
brugia_malayi_prjna10729,WBGene00220276,WBGene00011272,dtmk-1
brugia_malayi_prjna10729,WBGene00220277,,
brugia_malayi_prjna10729,WBGene00220278,,
brugia_malayi_prjna10729,WBGene00220280,,
brugia_malayi_prjna10729,WBGene00220281,,
brugia_malayi_prjna10729,WBGene00220284,,
brugia_malayi_prjna10729,WBGene00220288,,
brugia_malayi_prjna10729,WBGene00220289,,
brugia_malayi_prjna10729,WBGene00220294,,
brugia_malayi_prjna10729,WBGene00220302,,
brugia_malayi_prjna10729,WBGene00220303,,
brugia_malayi_prjna10729,WBGene00220306,WBGene00016319,C32D5.12
brugia_malayi_prjna10729,WBGene00220309,,
brugia_malayi_prjna10729,WBGene00220310,,
brugia_malayi_prjna10729,WBGene00220316,,
brugia_malayi_prjna10729,WBGene00220317,,
brugia_malayi_prjna10729,WBGene00220320,WBGene00003837,oat-1
brugia_malayi_prjna10729,WBGene00220320,WBGene00006220,str-176
brugia_malayi_prjna10729,WBGene00220321,,
brugia_malayi_prjna10729,WBGene00220328,,
brugia_malayi_prjna10729,WBGene00220335,WBGene00304788,C52B9.19
brugia_malayi_prjna10729,WBGene00220335,WBGene00016865,ets-9
brugia_malayi_prjna10729,WBGene00220335,WBGene00020368,ast-1
brugia_malayi_prjna10729,WBGene00220337,,
brugia_malayi_prjna10729,WBGene00220341,,
brugia_malayi_prjna10729,WBGene00220346,,
brugia_malayi_prjna10729,WBGene00220348,,
brugia_malayi_prjna10729,WBGene00220352,,
brugia_malayi_prjna10729,WBGene00220355,,
brugia_malayi_prjna10729,WBGene00220356,,
brugia_malayi_prjna10729,WBGene00220358,,
brugia_malayi_prjna10729,WBGene00220359,,
brugia_malayi_prjna10729,WBGene00220360,,
brugia_malayi_prjna10729,WBGene00220380,,
brugia_malayi_prjna10729,WBGene00220387,WBGene00010964,ctc-1
brugia_malayi_prjna10729,WBGene00220389,,
brugia_malayi_prjna10729,WBGene00220390,,
brugia_malayi_prjna10729,WBGene00220391,,
brugia_malayi_prjna10729,WBGene00220396,,
brugia_malayi_prjna10729,WBGene00220398,,
brugia_malayi_prjna10729,WBGene00220406,WBGene00014200,scrm-2
brugia_malayi_prjna10729,WBGene00220406,WBGene00008681,scrm-4
brugia_malayi_prjna10729,WBGene00220406,WBGene00015437,scrm-3
brugia_malayi_prjna10729,WBGene00220406,WBGene00011935,scrm-1
brugia_malayi_prjna10729,WBGene00220407,,
brugia_malayi_prjna10729,WBGene00220409,,
brugia_malayi_prjna10729,WBGene00220411,,
brugia_malayi_prjna10729,WBGene00220416,,
brugia_malayi_prjna10729,WBGene00220422,,
