gene_id,TMs
WBGene00220294,0
WBGene00220294,0
WBGene00220337,1
WBGene00220387,11
WBGene00220483,1
WBGene00220483,1
WBGene00220483,1
WBGene00220483,1
WBGene00220669,0
WBGene00220669,0
WBGene00220669,0
WBGene00220707,0
WBGene00220707,0
WBGene00220737,0
WBGene00220737,0
WBGene00220740,0
WBGene00220896,6
WBGene00220896,6
WBGene00221057,1
WBGene00221089,0
WBGene00221089,0
WBGene00221089,0
WBGene00221089,0
WBGene00221089,0
WBGene00221089,0
WBGene00221333,0
WBGene00221333,0
WBGene00221338,4
WBGene00221338,4
WBGene00221338,4
WBGene00221338,4
WBGene00221512,1
WBGene00221723,1
WBGene00221723,1
WBGene00221836,0
WBGene00221839,0
WBGene00221849,0
WBGene00221849,0
WBGene00221935,1
WBGene00221935,1
WBGene00221937,1
WBGene00221937,1
WBGene00221950,1
WBGene00221950,1
WBGene00221950,1
WBGene00221950,1
WBGene00221950,1
WBGene00221950,1
WBGene00221950,1
WBGene00221961,2
WBGene00221961,2
WBGene00221961,2
WBGene00221961,2
WBGene00221961,2
WBGene00221961,2
WBGene00221971,4
WBGene00221971,4
WBGene00221971,4
WBGene00221971,4
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,8
WBGene00221971,4
WBGene00221971,4
WBGene00221971,4
WBGene00221971,4
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221982,1
WBGene00221995,1
WBGene00221995,1
WBGene00222026,1
WBGene00222026,0
WBGene00222029,0
WBGene00222029,0
WBGene00222029,0
WBGene00222029,0
WBGene00222050,7
WBGene00222050,7
WBGene00222050,7
WBGene00222050,7
WBGene00222050,7
WBGene00222050,7
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222103,15
WBGene00222103,13
WBGene00222122,0
WBGene00222144,0
WBGene00222144,0
WBGene00222144,0
WBGene00222144,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222169,0
WBGene00222171,0
WBGene00222171,0
WBGene00222171,0
WBGene00222171,0
WBGene00222171,0
WBGene00222186,0
WBGene00222186,0
WBGene00222210,1
WBGene00222214,0
WBGene00222262,0
WBGene00222262,0
WBGene00222262,0
WBGene00222262,0
WBGene00222262,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222310,0
WBGene00222317,0
WBGene00222317,0
WBGene00222317,0
WBGene00222317,1
WBGene00222317,1
WBGene00222339,0
WBGene00222349,0
WBGene00222349,0
WBGene00222349,0
WBGene00222349,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222380,0
WBGene00222403,12
WBGene00222403,12
WBGene00222403,12
WBGene00222403,12
WBGene00222432,0
WBGene00222432,0
WBGene00222459,1
WBGene00222459,0
WBGene00222464,1
WBGene00222464,0
WBGene00222464,0
WBGene00222503,0
WBGene00222503,0
WBGene00222515,7
WBGene00222520,5
WBGene00222520,2
WBGene00222520,5
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222523,0
WBGene00222557,0
WBGene00222557,0
WBGene00222576,5
WBGene00222576,5
WBGene00222576,4
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222590,0
WBGene00222592,0
WBGene00222592,0
WBGene00222624,3
WBGene00222624,3
WBGene00222624,3
WBGene00222624,1
WBGene00222624,1
WBGene00222624,3
WBGene00222625,7
WBGene00222625,7
WBGene00222625,7
WBGene00222625,7
WBGene00222641,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222681,0
WBGene00222695,23
WBGene00222695,23
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222722,5
WBGene00222760,0
WBGene00222760,0
WBGene00222760,0
WBGene00222760,0
WBGene00222778,0
WBGene00222778,0
WBGene00222778,0
WBGene00222778,0
WBGene00222778,0
WBGene00222780,0
WBGene00222780,0
WBGene00222795,0
WBGene00222830,0
WBGene00222830,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222919,1
WBGene00222919,1
WBGene00222921,12
WBGene00222927,1
WBGene00222927,1
WBGene00222927,1
WBGene00222927,4
WBGene00222927,4
WBGene00222927,4
WBGene00222940,5
WBGene00222969,0
WBGene00223015,0
WBGene00223015,0
WBGene00223034,1
WBGene00223034,1
WBGene00223034,1
WBGene00223034,1
WBGene00223034,1
WBGene00223034,1
WBGene00223058,0
WBGene00223058,0
WBGene00223058,0
WBGene00223058,0
WBGene00223086,19
WBGene00223086,19
WBGene00223086,19
WBGene00223086,19
WBGene00223086,18
WBGene00223086,18
WBGene00223119,0
WBGene00223119,0
WBGene00223119,0
WBGene00223119,0
