gene_id,TMs
WBGene00220280,1
WBGene00220280,1
WBGene00220280,2
WBGene00220387,11
WBGene00220387,11
WBGene00220503,0
WBGene00220503,0
WBGene00220527,0
WBGene00220527,0
WBGene00220619,2
WBGene00220619,2
WBGene00220707,0
WBGene00220712,0
WBGene00220743,0
WBGene00220757,0
WBGene00220757,0
WBGene00220865,0
WBGene00220865,0
WBGene00220896,6
WBGene00221138,1
WBGene00221138,1
WBGene00221138,1
WBGene00221138,1
WBGene00221138,1
WBGene00221138,1
WBGene00221723,1
WBGene00221723,1
WBGene00221723,1
WBGene00221723,1
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221802,0
WBGene00221836,0
WBGene00221836,0
WBGene00221841,0
WBGene00221841,0
WBGene00221945,1
WBGene00221945,1
WBGene00221985,1
WBGene00221985,1
WBGene00221989,0
WBGene00222011,0
WBGene00222011,0
WBGene00222011,0
WBGene00222011,0
WBGene00222011,0
WBGene00222011,0
WBGene00222027,1
WBGene00222027,1
WBGene00222027,1
WBGene00222027,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,0
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222031,1
WBGene00222040,8
WBGene00222040,8
WBGene00222040,8
WBGene00222040,8
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222065,1
WBGene00222065,0
WBGene00222065,1
WBGene00222084,3
WBGene00222084,3
WBGene00222106,0
WBGene00222106,0
WBGene00222108,0
WBGene00222119,4
WBGene00222119,4
WBGene00222119,4
WBGene00222119,4
WBGene00222197,0
WBGene00222197,0
WBGene00222225,0
WBGene00222225,0
WBGene00222232,0
WBGene00222232,0
WBGene00222262,0
WBGene00222262,0
WBGene00222265,1
WBGene00222283,0
WBGene00222283,0
WBGene00222349,0
WBGene00222349,0
WBGene00222353,0
WBGene00222353,0
WBGene00222353,0
WBGene00222353,0
WBGene00222353,1
WBGene00222353,1
WBGene00222353,1
WBGene00222353,1
WBGene00222456,0
WBGene00222456,0
WBGene00222456,0
WBGene00222456,0
WBGene00222464,1
WBGene00222464,1
WBGene00222464,0
WBGene00222464,0
WBGene00222464,0
WBGene00222464,0
WBGene00222465,4
WBGene00222465,4
WBGene00222465,4
WBGene00222465,4
WBGene00222469,7
WBGene00222469,7
WBGene00222551,0
WBGene00222551,0
WBGene00222590,0
WBGene00222613,0
WBGene00222619,0
WBGene00222619,0
WBGene00222646,1
WBGene00222671,0
WBGene00222671,0
WBGene00222671,0
WBGene00222671,0
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222707,1
WBGene00222800,0
WBGene00222800,0
WBGene00222800,0
WBGene00222800,0
WBGene00222846,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222945,1
WBGene00222945,1
WBGene00222957,0
WBGene00222957,0
WBGene00222963,0
WBGene00222974,1
WBGene00223023,0
WBGene00223023,0
WBGene00223086,19
WBGene00223086,19
WBGene00223086,19
WBGene00223086,19
WBGene00223086,18
WBGene00223086,18
WBGene00223104,4
WBGene00223104,4
WBGene00223116,0
WBGene00223116,0
WBGene00223116,0
WBGene00223132,1
WBGene00223132,1
WBGene00223135,1
WBGene00223135,0
WBGene00223135,0
WBGene00223142,0
WBGene00223142,0
WBGene00223150,0
WBGene00223150,0
WBGene00223190,16
WBGene00223190,16
WBGene00223190,1
WBGene00223248,0
WBGene00223248,0
WBGene00223248,0
WBGene00223248,0
WBGene00223283,0
WBGene00223283,0
WBGene00223283,0
WBGene00223283,0
WBGene00223363,2
WBGene00223363,2
WBGene00223363,2
WBGene00223363,2
WBGene00223390,0
WBGene00223390,0
WBGene00223407,1
WBGene00223407,1
WBGene00223407,1
WBGene00223407,1
WBGene00223411,2
WBGene00223411,2
WBGene00223423,0
WBGene00223423,0
WBGene00223423,0
WBGene00223423,0
WBGene00223447,0
WBGene00223447,0
WBGene00223447,0
WBGene00223456,0
WBGene00223456,0
WBGene00223456,0
WBGene00223456,0
WBGene00223456,0
WBGene00223456,0
WBGene00223467,0
WBGene00223467,0
WBGene00223496,0
WBGene00223496,0
WBGene00223568,1
WBGene00223568,1
WBGene00223628,1
WBGene00223628,1
WBGene00223652,0
WBGene00223652,0
WBGene00223652,0
WBGene00223652,0
WBGene00223658,1
WBGene00223735,2
WBGene00223735,1
WBGene00223746,0
WBGene00223746,0
WBGene00223746,0
WBGene00223746,0
WBGene00223764,1
WBGene00223778,0
WBGene00223797,0
WBGene00223797,0
WBGene00223816,1
WBGene00223872,0
WBGene00223872,0
WBGene00223881,0
WBGene00223943,0
WBGene00223943,0
WBGene00223943,0
WBGene00223943,0
WBGene00223955,1
WBGene00223990,1
WBGene00223990,0
WBGene00223990,1
WBGene00223999,2
WBGene00223999,2
WBGene00223999,2
WBGene00223999,2
WBGene00223999,2
WBGene00223999,2
WBGene00224015,1
WBGene00224015,1
WBGene00224044,2
WBGene00224044,2
WBGene00224078,0
WBGene00224078,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224081,0
WBGene00224142,1
WBGene00224142,1
WBGene00224198,1
WBGene00224198,1
WBGene00224198,1
WBGene00224214,0
WBGene00224214,0
WBGene00224220,0
WBGene00224246,0
WBGene00224246,0
WBGene00224246,0
WBGene00224246,0
WBGene00224257,0
WBGene00224257,0
WBGene00224257,0
WBGene00224257,0
WBGene00224269,7
WBGene00224289,0
WBGene00224289,0
WBGene00224289,0
WBGene00224289,0
WBGene00224354,1
WBGene00224354,1
WBGene00224365,0
WBGene00224365,0
WBGene00224373,0
WBGene00224373,0
WBGene00224373,0
WBGene00224373,0
WBGene00224377,1
WBGene00224377,1
WBGene00224386,0
WBGene00224386,0
WBGene00224408,0
WBGene00224503,13
WBGene00224545,0
WBGene00224545,0
WBGene00224545,0
WBGene00224545,0
WBGene00224576,0
WBGene00224576,0
WBGene00224579,0
WBGene00224579,0
WBGene00224579,0
WBGene00224579,0
WBGene00224604,0
WBGene00224604,0
WBGene00224604,0
WBGene00224604,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224647,0
WBGene00224649,0
WBGene00224706,0
WBGene00224706,0
WBGene00224722,1
WBGene00224722,0
WBGene00224735,0
WBGene00224735,0
WBGene00224756,0
WBGene00224836,0
WBGene00224836,0
WBGene00224867,1
WBGene00224867,1
WBGene00224890,3
WBGene00224890,2
WBGene00224972,0
WBGene00224972,0
WBGene00225050,2
WBGene00225120,0
WBGene00225205,2
WBGene00225205,2
WBGene00225205,1
WBGene00225205,1
WBGene00225233,0
WBGene00225260,4
WBGene00225260,4
WBGene00225260,4
WBGene00225260,4
WBGene00225260,0
WBGene00225260,0
WBGene00225260,4
WBGene00225260,4
WBGene00225260,4
WBGene00225260,4
WBGene00225260,0
WBGene00225260,0
WBGene00225264,8
WBGene00225264,8
WBGene00225264,9
WBGene00225264,9
WBGene00225275,9
WBGene00225275,9
WBGene00225275,9
WBGene00225275,9
